school,latitude,longitude,income,score,%Proficient  or Above (ACT MATH),%Proficient  or Above (ACT ELA),Total,White No,Black No,Native American No,Latinx No,Multiracial No,Asian No,Hawaiian No,Other No,Middle Eastern No,Minority Percent
Sullivan High School,42.00268756,-87.66919215,59713,960,11.2,12.5,713,112,213,2,267,11,82,1,9,16,0.842917251
Thomas Kelly College Preparatory,41.81872906,-87.69463866,64809,1040,10.5,23,1604,22,29,2,1383,2,166,0,0,0,0.986284289
Tilden Career Communty Academy HS,41.80751007,-87.64296648,58896,990,0,9.4,239,17,81,0,135,2,2,0,2,0,0.928870293
Uplift Community High School,41.96554746,-87.65247335,71030,880,0,12.5,226,8,137,1,71,2,6,0,1,0,0.96460177
Urban Prep Chtr Acad Englewood HS,41.78149782,-87.63435669,31905,920,0,19,87,0,81,0,5,0,0,0,1,0,1
Urban Prep Chtr Bronzeville HS,41.83111753,-87.61362865,73819,980,3.1,15.6,143,0,135,0,4,0,0,0,4,0,1
Von Steuben Metro Science HS,41.97318505,-87.71338625,85703,1120,45.3,66.3,1675,301,143,5,924,31,258,13,0,0,0.820298508
Walter Henri Dyett HS for Arts,41.80120417,-87.61223911,63876,930,4.5,7.6,516,2,498,1,13,1,0,0,1,0,0.996124031
George Washington High School,41.68813694,-87.5375703,51778,1020,9.9,29.3,1468,49,101,3,1307,6,1,1,0,0,0.966621253
Wells Community Academy HS,41.89899471,-87.66748287,136277,960,0,10.2,366,31,141,1,182,6,3,0,2,0,0.915300546
Westinghouse College Prep,41.8899772,-87.70733231,34030,1100,31.6,58,1226,33,573,3,522,17,76,2,0,0,0.973083197
Williams Medical Prep High Sch,41.8061176,-87.62502998,63876,900,0,25,72,0,69,0,1,2,0,0,0,0,1
World Language High School,41.83439662,-87.73529222,51878,970,6.6,37.7,377,4,14,0,359,0,0,0,0,0,0.98938992
 YCCS-Innovations of Arts Integr ,41.88304717,-87.62773415,126202,920,#N/A,#N/A,395,5,349,1,38,2,0,0,0,0,0.987341772
YCCS-Latino Youth Alternative HS,41.85466466,-87.69543001,73366,920,#N/A,#N/A,168,2,6,1,159,0,0,0,0,0,0.988095238
YCCS-McKinley-Lakeside Leadership,41.84133117,-87.62533077,73819,1100,#N/A,#N/A,92,0,90,0,1,1,0,0,0,0,1
YCCS-Olive Harvey Mid College HS,41.7129221,-87.5923332,54644,990,#N/A,#N/A,122,0,106,0,16,0,0,0,0,0,1
YCCS-Progressive Leadership Acad,41.77416955,-87.6158421,43609,1110,#N/A,#N/A,114,1,113,0,0,0,0,0,0,0,0.99122807
YCCS-Truman Middle College HS,41.96529482,-87.65923929,71030,980,#N/A,#N/A,177,15,41,1,88,2,28,1,1,0,0.915254237
YCCS-West Town Academy Alt HS,41.89080312,-87.7020528,60922,840,#N/A,#N/A,105,1,79,0,23,2,0,0,0,0,0.990476191
YCCS-Youth Connection Leadership,41.83207206,-87.62678147,64809,1010,#N/A,#N/A,102,1,76,0,25,0,0,0,0,0,0.990196078
