school,latitude,longitude,white,asian,black,hispanic,other,minority,score,income,funding,enrollment
South Gate Senior High,33.9551068,-118.2098863,30,6,11,1627,7,0.98215348,1020,74651,20935838,1681
Susan Miller Dorsey Senior High,34.0228222,-118.3464053,17,0,361,451,24,0.98007034,970,73516,10749219,853
Sylmar Charter High School,34.3073419,-118.4420247,29,11,19,1392,12,0.980177717,1050,98118,17398836,1463
Theodore Roosevelt Senior High,34.0393697,-118.2098691,41,2,13,1617,5,0.97556615,950,59652,16990028,1678
Thomas Jefferson Senior High,34.0096058,-118.2511985,15,2,32,505,10,0.973404255,910,59017,8821062,564
Ulysses S Grant Senior High,34.1773702,-118.4163793,659,43,60,942,70,0.628523112,1090,79552,22699509,1774
University High School Charter,34.0455361,-118.4608907,162,83,296,789,55,0.883032491,1120,103894,13532655,1385
Valley Academy of Arts and Sciences,34.2600321,-118.5029047,170,70,21,470,26,0.775429326,1060,119345,7800752,757
Van Nuys Senior High,34.1890497,-118.4550291,228,239,58,1383,61,0.88420518,1200,74617,24213642,1969
Venice Senior High,33.9975033,-118.4438659,448,161,267,1218,199,0.804622765,1200,114141,21752971,2293
Verdugo Hills Senior High,34.2617665,-118.2985722,347,43,15,765,25,0.709623431,1120,85603,12005344,1195
West Adams Preparatory Senior High,34.0397382,-118.2897125,19,3,43,872,5,0.979830149,970,35378,12289950,942
William Howard Taft Charter High School,34.1695870,-118.5717119,881,227,132,867,114,0.603331833,1220,132854,16680428,2221
Woodrow Wilson Senior High,34.0698543,-118.1864545,33,28,15,1177,7,0.973809524,1030,82292,14603875,1260
